2024-02-13 18:03:08 | mitigator | INFO | Starting mitigator
2024-02-13 18:14:51 | mitigator | INFO | Starting mitigator
2024-02-13 18:15:09 | mitigator | INFO | Starting mitigator
2024-02-13 18:17:12 | mitigator | INFO | Starting mitigator
2024-02-13 18:17:38 | mitigator | INFO | Starting mitigator
2024-02-13 18:17:38 | mitigator | INFO | Detection period from 1706690436.9129384 to 1706690555.5421572
2024-02-13 18:17:38 | mitigator | INFO | Detection period from 1706690436.9129384 to 1706690555.5421572
2024-02-13 18:17:54 | mitigator | INFO | Starting mitigator
2024-02-13 18:17:59 | mitigator | INFO | Starting mitigator
2024-02-13 18:17:59 | mitigator | INFO | Detection period from 1706690436.9129384 to 1706690555.5421572
2024-02-13 18:17:59 | mitigator | INFO | Detection period from 1706690436.9129384 to 1706690555.5421572
2024-02-13 18:18:15 | mitigator | INFO | Starting mitigator
2024-02-13 18:18:49 | mitigator | INFO | Starting mitigator
2024-02-13 18:18:54 | mitigator | INFO | Starting mitigator
2024-02-13 18:18:54 | mitigator | INFO | Detection period from 1706690436.9129384 to 1706690555.5421572
2024-02-13 18:18:54 | mitigator | INFO | Detection period from 1706690436.9129384 to 1706690555.5421572
2024-02-13 18:19:13 | mitigator | INFO | Starting mitigator
2024-02-13 18:19:13 | mitigator | INFO | Detection period from 1706690436.9129384 to 1706690555.5421572
2024-02-13 18:19:13 | mitigator | INFO | Detection period from 1706690436.9129384 to 1706690555.5421572
2024-02-13 18:20:43 | mitigator | INFO | Starting mitigator
2024-02-13 18:22:39 | mitigator | INFO | Starting mitigator
2024-02-13 18:22:52 | mitigator | INFO | Starting mitigator
2024-02-13 18:23:35 | mitigator | INFO | Starting mitigator
2024-02-13 18:25:03 | mitigator | INFO | Starting mitigator
2024-02-13 18:26:06 | mitigator | INFO | Starting mitigator
2024-02-13 18:30:03 | mitigator | INFO | Starting mitigator
2024-02-13 18:30:16 | mitigator | INFO | Starting mitigator
2024-02-13 18:30:27 | mitigator | INFO | Starting mitigator
2024-02-13 18:30:38 | mitigator | INFO | Starting mitigator
2024-02-13 18:41:34 | mitigator | INFO | Starting mitigator
2024-02-13 18:41:39 | mitigator | INFO | Starting mitigator
2024-02-13 18:41:48 | mitigator | INFO | Starting mitigator
2024-02-13 18:42:46 | mitigator | INFO | Starting mitigator
2024-02-13 18:42:58 | mitigator | INFO | Starting mitigator
2024-02-13 18:42:58 | mitigator | INFO | Detection period from 2024-01-31 08:40:36.910000128 to 2024-01-31 08:42:35.540000
2024-02-13 18:42:58 | mitigator | INFO | Detection period from 2024-01-31 08:40:36.910000128 to 2024-01-31 08:42:35.540000
2024-02-13 18:44:05 | mitigator | INFO | Starting mitigator
2024-02-13 18:44:05 | mitigator | INFO | Processing file: suspicious_device_202402102330.csv
